Runtime (ms):,61905
Average checktime (ms):,14.672167
Cubesize:,100
Devisions:,4
Total cells:,64

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions
14,14,1272,350
15,29,1234,336
14,43,1255,342
15,58,1223,338
14,72,1209,335
15,87,1215,337
15,102,1279,342
14,116,1307,346
14,130,1257,339
14,144,1253,340
14,158,1239,339
14,172,1201,335
15,187,1228,341
15,202,1299,352
14,216,1263,341
14,230,1236,336
14,244,1269,340
14,258,1274,339
14,272,1286,342
15,287,1290,341
15,302,1252,338
14,316,1236,335
15,331,1263,339
15,346,1273,343
14,360,1248,338
15,375,1265,343
15,390,1261,343
15,405,1272,343
14,419,1221,335
15,434,1281,342
15,449,1346,351
15,464,1403,361
15,479,1372,354
15,494,1324,347
14,508,1300,341
15,523,1333,349
14,537,1304,347
15,552,1258,338
15,567,1216,336
15,582,1264,346
14,596,1294,352
15,611,1302,351
15,626,1292,345
15,641,1294,350
15,656,1252,343
16,672,1266,345
15,687,1346,352
15,702,1342,349
14,716,1346,352
15,731,1294,344
14,745,1273,342
15,760,1348,352
15,775,1432,361
15,790,1384,351
15,805,1347,344
15,820,1407,356
15,835,1426,360
15,850,1357,350
14,864,1322,349
15,879,1375,353
14,893,1342,344
15,908,1332,342
15,923,1296,342
14,937,1360,350
15,952,1345,349
15,967,1273,340
14,981,1273,341
14,995,1287,347
14,1009,1231,338
14,1023,1209,338
15,1038,1254,347
15,1053,1268,346
15,1068,1253,343
14,1082,1249,340
15,1097,1268,345
15,1112,1240,341
15,1127,1274,346
15,1142,1319,353
15,1157,1317,355
15,1172,1237,340
15,1187,1185,334
15,1202,1234,339
15,1217,1264,344
14,1231,1304,353
15,1246,1274,346
15,1261,1300,355
15,1276,1321,358
15,1291,1333,361
15,1306,1316,355
15,1321,1277,349
15,1336,1272,349
14,1350,1262,350
15,1365,1317,360
15,1380,1302,356
15,1395,1293,350
14,1409,1280,346
14,1423,1294,350
15,1438,1303,352
14,1452,1290,349
14,1466,1288,350
14,1480,1311,352
14,1494,1339,356
15,1509,1255,343
14,1523,1233,342
15,1538,1267,351
14,1552,1223,342
15,1567,1243,343
14,1581,1224,339
14,1595,1235,342
14,1609,1247,343
15,1624,1244,341
14,1638,1304,352
15,1653,1328,357
15,1668,1325,355
14,1682,1280,348
14,1696,1258,345
15,1711,1345,355
15,1726,1340,354
14,1740,1372,360
15,1755,1399,365
15,1770,1388,359
15,1785,1410,362
15,1800,1382,356
15,1815,1365,355
15,1830,1360,350
15,1845,1346,351
15,1860,1332,348
15,1875,1339,354
15,1890,1335,353
16,1906,1274,343
14,1920,1313,344
15,1935,1374,359
15,1950,1406,361
15,1965,1398,356
14,1979,1305,341
14,1993,1374,349
15,2008,1342,347
15,2023,1289,339
15,2038,1264,341
15,2053,1295,343
14,2067,1237,332
15,2082,1226,333
14,2096,1255,337
15,2111,1267,338
15,2126,1238,335
15,2141,1275,338
14,2155,1277,339
15,2170,1296,341
14,2184,1246,335
15,2199,1267,340
