Runtime (ms):,40046
Average checktime (ms):,40.226501
Cubesize:,100
Devisions:,6
Total cells:,216

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions
40,40,621,353
40,80,661,357
40,120,670,363
40,160,665,360
42,202,680,374
40,242,690,368
39,281,670,363
40,321,659,357
40,361,651,353
39,400,670,358
40,440,687,366
40,480,693,364
40,520,730,380
40,560,763,387
40,600,744,380
39,639,699,364
40,679,749,391
40,719,756,386
40,759,754,371
39,798,742,376
41,839,748,377
40,879,741,368
41,920,752,382
40,960,748,386
40,1000,713,374
39,1039,695,371
40,1079,697,376
39,1118,695,377
40,1158,698,375
40,1198,699,371
40,1238,691,367
40,1278,721,379
40,1318,698,372
39,1357,699,369
39,1396,715,374
40,1436,719,376
40,1476,756,380
41,1517,788,390
40,1557,763,380
41,1598,745,376
39,1637,784,389
40,1677,766,385
40,1717,728,379
40,1757,720,375
40,1797,722,378
39,1836,726,383
40,1876,748,389
40,1916,734,379
40,1956,715,377
41,1997,733,384
40,2037,749,385
40,2077,727,387
40,2117,717,385
40,2157,694,379
41,2198,733,393
40,2238,728,386
40,2278,729,387
41,2319,734,393
40,2359,720,385
40,2399,729,389
40,2439,733,392
40,2479,708,383
40,2519,706,384
40,2559,743,394
41,2600,765,398
41,2641,763,401
39,2680,736,385
39,2719,693,377
40,2759,690,375
41,2800,733,393
40,2840,749,393
41,2881,745,391
41,2922,721,374
41,2963,717,379
41,3004,714,381
40,3044,699,377
40,3084,695,374
40,3124,707,374
41,3165,716,379
41,3206,738,381
40,3246,733,375
41,3287,706,371
39,3326,709,373
40,3366,735,383
41,3407,766,395
40,3447,770,395
41,3488,800,402
40,3528,779,399
41,3569,767,396
41,3610,783,394
41,3651,825,405
41,3692,832,410
40,3732,806,400
43,3775,773,395
43,3818,777,391
41,3859,762,391
39,3898,741,379
40,3938,736,377
40,3978,730,369
40,4018,716,369
40,4058,719,373
40,4098,747,383
41,4139,760,383
39,4178,736,380
40,4218,755,389
40,4258,757,392
40,4298,735,382
40,4338,730,380
39,4377,740,384
42,4419,746,388
40,4459,763,390
40,4499,746,387
40,4539,725,380
39,4578,716,380
40,4618,717,383
40,4658,723,384
41,4699,715,381
41,4740,736,385
41,4781,746,391
41,4822,710,379
41,4863,698,375
39,4902,672,366
40,4942,690,371
41,4983,682,372
39,5022,675,368
40,5062,708,376
40,5102,716,378
40,5142,721,388
42,5184,720,390
40,5224,721,390
41,5265,709,393
40,5305,725,393
39,5344,675,371
41,5385,694,379
40,5425,757,405
40,5465,774,403
40,5505,749,391
40,5545,731,388
40,5585,725,388
40,5625,729,389
40,5665,729,383
40,5705,719,382
41,5746,725,385
41,5787,729,388
40,5827,738,387
41,5868,732,387
40,5908,721,383
40,5948,701,373
40,5988,745,394
40,6028,729,387
40,6068,698,372
40,6108,687,370
39,6147,688,371
41,6188,664,363
42,6230,712,376
41,6271,732,385
40,6311,748,386
40,6351,742,380
40,6391,729,375
39,6430,712,373
40,6470,703,366
40,6510,696,365
40,6550,705,367
40,6590,693,363
39,6629,690,363
41,6670,715,379
40,6710,694,364
40,6750,669,361
40,6790,672,365
41,6831,693,371
40,6871,728,384
40,6911,721,382
40,6951,682,367
40,6991,666,362
40,7031,662,364
40,7071,702,370
40,7111,697,367
41,7152,732,386
40,7192,728,381
40,7232,716,369
41,7273,667,358
39,7312,692,367
39,7351,703,370
40,7391,704,367
40,7431,679,363
40,7471,673,359
40,7511,688,362
40,7551,714,368
41,7592,728,371
39,7631,704,364
40,7671,693,359
39,7710,672,355
39,7749,681,356
39,7788,706,360
40,7828,719,373
39,7867,729,376
40,7907,716,370
41,7948,686,355
42,7990,669,356
41,8031,657,355
41,8072,680,361
39,8111,694,365
39,8150,681,355
40,8190,665,350
39,8229,675,353
39,8268,631,342
39,8307,622,342
42,8349,657,357
40,8389,647,345
41,8430,641,352
41,8471,641,348
41,8512,659,355
40,8552,677,356
40,8592,672,348
41,8633,669,353
40,8673,687,360
41,8714,678,360
40,8754,687,360
40,8794,713,370
39,8833,727,369
40,8873,734,366
40,8913,709,362
39,8952,713,362
40,8992,702,362
40,9032,710,366
40,9072,717,372
39,9111,715,368
39,9150,707,374
39,9189,731,372
40,9229,715,368
40,9269,708,365
40,9309,701,359
41,9350,679,358
41,9391,706,362
40,9431,702,367
40,9471,748,377
41,9512,772,383
41,9553,728,371
41,9594,703,367
40,9634,722,375
40,9674,716,372
39,9713,687,365
39,9752,687,371
39,9791,721,379
40,9831,731,381
41,9872,737,384
41,9913,745,391
40,9953,725,375
40,9993,713,371
39,10032,695,362
40,10072,709,365
40,10112,710,362
40,10152,701,361
40,10192,735,376
40,10232,749,377
41,10273,746,377
42,10315,768,388
40,10355,780,392
41,10396,770,377
41,10437,793,386
40,10477,765,377
41,10518,766,383
40,10558,755,379
41,10599,761,382
40,10639,758,377
41,10680,720,366
